event_legislator,event_related_party,event_related_state,event_congress_district,event_meeting_type,event_date,event_time,event_description,event_location,event_url
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Wed Apr 12 2017Ê,"10:00 AM, CDTÊ",LeFlore County Town Hall,"Donald W. Reynolds Community Center  501 S Broadway St, Poteau, OK 74953",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Wed Apr 12 2017Ê,"1:00 PM, CDTÊ",Haskell County Town Hall,"Twin Lakes Inn  1810 E Main St, Stigler, OK 74462",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Wed Apr 12 2017Ê,"3:00 PM, CDTÊ",Latimer County Town Hall,"Eastern Oklahoma State College- Ballroom  1301 W Main St, Wilburton, OK 74578",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Wed Apr 12 2017Ê,"5:30 PM, CDTÊ",Coal County Town Hall,"OSU Exchange Office  1501 S Broadway St, Coalgate, OK 74538",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Thu Apr 13 2017Ê,"08:30 AM, CDTÊ",Atoka County Town Hall,"Atoka Community Center  909 W Liberty Rd, Atoka, OK 74525",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Thu Apr 13 2017Ê,"10:30 AM, CDTÊ",Pushmataha County Town Hall,"Antlers Library  104 SE 2nd St, Antlers, OK 74523",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-2,Town Hall,Thu Apr 13 2017Ê,"1:00 PM, CDTÊ",McCurtain County Town Hall,"Southeastern Oklahoma State University- ET Dunlap Center 2805 NE Lincoln Rd, Idabel, OK 74745 ",https://townhallproject.com
Markwayne MullinÊ,Republican,Oklahoma,OK-02,Town Hall,"Fri, Apr 7, 2017Ê","2:30 PM, CDTÊ",Choctaw County,"Kiamichi Technology Center  107 S 15th St, Hugo, OK 74743",https://townhallproject.com
Susan BonamiciÊ,Democrat,Oregon,1,Town Hall,"Mon, Apr 17, 2017Ê","6:00 PM, PDTÊ",Sherwood Town Hall Meeting,"Sherwood High School, Gym  16956 SW Meinecke Rd, Sherwood, OR 97140",https://townhallproject.com
Susan BonamiciÊ,Democrat,Oregon,1,Town Hall,"Sat, Apr 15, 2017Ê","3:00 PM, PDTÊ",Scappoose Town Hall Meeting,"Scappoose High School, Gym  33700 SE High School Way, Scappoose, OR 97056",https://townhallproject.com
Susan BonamiciÊ,Democrat,Oregon,1,Town Hall,"Sat, Apr 15, 2017Ê","11:00 AM, PDTÊ",Warrenton Town Hall Meeting,"Warrenton High School, Gym  1700 S Main Ave, Warrenton, OR 97146",https://townhallproject.com
"Bob Casey, Jr.Ê",Democratic,Pennsylvania,Senate,Coffee,"Thu, Apr 6, 2017Ê","8:30 AM, EDTÊ",,"Room 385, Russell Senate Office Building 2 Constitution Ave NE, Washington, DC 20002 ",https://townhallproject.com
Tim MurphyÊ,Republican,Pennsylvania,PA-18,Empty Chair Town Hall,Wed Apr 19 2017Ê,"6:30 PM, EDTÊ",Town Hall with (or without) Tim Murphy,"Bethel Park Community Center 5151 Park Ave, Bethel Park, PA 15102 ",https://townhallproject.com
Lloyd SmuckerÊ,Republican,Pennsylvania,PA-16,Office Hours,Mon Apr 03 2017Ê,"08:00 AM, EDTÊ",Berks County Mobile Office Hours,"Reading City Hall  815 Washington St, Reading, PA 19601",https://townhallproject.com
David CicilineÊ,Democratic,Rhode Island,RI-01,Town Hall,"Tue, Apr 11, 2017Ê","6:30 PM, EDTÊ",Community Conversation,"Barrington High School  20 Lincoln Ave, Barrington, RI 02806",https://townhallproject.com
David CicilineÊ,Democratic,Rhode Island,RI-01,Town Hall,"Sat, Apr 22, 2017Ê","3:30 PM, EDTÊ",Community Conversation in Portsmouth,"Portsmouth Middle School  125 Jepson Ln, Portsmouth, RI 02871",https://townhallproject.com
David CicillineÊ,Democratic,Rhode Island,RI-1,Town Hall,Sat Apr 22 2017Ê,"3:30 PM, EDTÊ",Community Conversation in Portsmouth,"Portsmouth Middle School  125 Jepson Ln, Portsmouth, RI 02871",https://townhallproject.com
Tom RiceÊ,Republican,South Carolina,SC-07,Office Hours,"Wed, Apr 12, 2017Ê","12:00 PM, EDTÊ",Georgetown Mobile Office,"Waccamaw Regional Council of Governments Office 1230 Highmarket St, Georgetown, SC 29440 ",https://townhallproject.com
Jeff DuncanÊ,Republican,South Carolina,SC-3,Office Hours,Mon Apr 10 2017Ê,:undefined AMÊ,Laurens Office Hours,Laurens,https://townhallproject.com
Jeff DuncanÊ,Republican,South Carolina,SC-3,Office Hours,Thu Apr 13 2017Ê,:undefined AMÊ,Anderson Office Hours,Anderson,https://townhallproject.com
Tom RiceÊ,Republican,South Carolina,SC-7,Town Hall,Mon Apr 10 2017Ê,"10:45 AM, EDTÊ",Coffee with your Congressman,"J.L. Leonard's Restaurant (formely Chelsea Jo's) 3010 US-17 BUS, Murrells Inlet, SC 29576 ",https://townhallproject.com
Tom RiceÊ,Republican,South Carolina,SC-7,Office Hours,Tue Apr 11 2017Ê,"11:30 AM, EDTÊ",Coffee with your Congressman,"Four Points 66 Mini Mart: SC-9  Lake View, SC 29563",https://townhallproject.com
Tom RiceÊ,Republican,South Carolina,SC-7,Office Hours,Tue Apr 11 2017Ê,"3:30 PM, EDTÊ",Coffee with your Congressman,"Clio Town Hall  101 State Rd S-35-225, Clio, SC 29525",https://townhallproject.com
Tom RiceÊ,Republican,South Carolina,SC-7,Office Hours,Tue Apr 11 2017Ê,"6:00 PM, EDTÊ",Coffee with your Congressman,"Bill's Grill  359 US-1, Patrick, SC 29584",https://townhallproject.com
Tom RiceÊ,Republican,South Carolina,SC-7,Office Hours,Wed Apr 12 2017Ê,"3:30 PM, EDTÊ",Coffee with your Congressman,"Crema Coffee  136 W Carolina Ave, Hartsville, SC 29550",https://townhallproject.com
John ThuneÊ,Republican,South Dakota,Senate,Coffee,Every WednesdayÊ,TBD,South Dakota,,https://townhallproject.com
Will HurdÊ,Republican,Texas,TX-23,Office Hours,"Tue, Apr 4, 2017Ê","9:00 AM, CDTÊ",,"Hondo Public Library 1011 19th St, Hondo, TX 78861 ",https://townhallproject.com
Will HurdÊ,Republican,Texas,TX-23,Office Hours,"Tue, Apr 4, 2017Ê","3:00 PM, CDTÊ",,"Kinney County Public Library 510 S Ellen St, Brackettville, TX 78832 ",https://townhallproject.com
Will HurdÊ,Republican,Texas,TX-23,Office Hours,"Wed, Apr 5, 2017Ê","10:00 AM, CDTÊ",,"Vida y Salud Community Health Clinic 308 Cesar Chavez, Crystal City, TX 78839 ",https://townhallproject.com
Will HurdÊ,Republican,Texas,TX-23,Office Hours,"Wed, Apr 5, 2017Ê","1:30 PM, CDTÊ",,"The Benavides Center (Temporary public library location) 1951 Taft St, Eagle Pass, TX 78852 ",https://townhallproject.com
Will HurdÊ,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017Ê","9:00 AM, CDTÊ",,"Dimmit County Public Library 200 N 9th St, Carrizo Springs, TX 78834 ",https://townhallproject.com
Will HurdÊ,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017Ê","11:00 AM, CDTÊ",,"Presidio Public Library E O'Reilly St, Presidio, TX 79845 ",https://townhallproject.com
Will HurdÊ,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017Ê","12:00 PM, CDTÊ",,"El Vaquero Cafe 155 I-35BL, Cotulla, TX 78014 ",https://townhallproject.com
Will HurdÊ,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017Ê","2:30 PM, CDTÊ",Field office hours,"Marfa Library  115 E Oak St, Marfa, TX 79843",https://townhallproject.com
Will HurdÊ,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017Ê","3:00 PM, CDTÊ",Field office hours,"Pearsall Public Library  200 E Trinity St, Pearsall, TX 78061",https://townhallproject.com
Will HurdÊ,Republican,Texas,TX-23,Office Hours,"Fri, Apr 7, 2017Ê","11:00 AM, CDTÊ",Field office hours,"Schleicher County Public Library  201 SW Main St, Eldorado, TX 76936",https://townhallproject.com
John CornynÊ,Republican,Texas,Senate,Coffee,Every ThursdayÊ,9:30 AM,Senator Cornyn's D.C. Office,"Hart Senate Office Building, Washington, DC 20002  ",https://townhallproject.com
Will HurdÊ,Republican,Texas,TX-23,Office Hours,"Tue, Apr 4, 2017Ê","12:00 PM, CDTÊ",El Progreso Memorial Library,"301 W Main St, Uvalde, TX 78801  ",https://townhallproject.com
Kay GrangerÊ,Republican,Texas,TX-12,Tele-town Hall,Phone,Texas,,,https://townhallproject.com
Randy WeberÊ,Republican,Texas,TX-14,Tele-town Hall,Phone,Texas,,,https://townhallproject.com
Will HurdÊ,Republican,Texas,TX-23,Office Hours,"Fri, Apr 7, 2017Ê","11:00 AM, CSTÊ",Mobile office hours,"Culberson County Nutrition and Recreation Center  1206 W Broadway St, Van Horn, TX 79855",https://townhallproject.com
Will HurdÊ,Republican,Texas,TX-23,Office Hours,"Fri, Apr 7, 2017Ê","1:30 PM, CSTÊ",Mobile office hours,"Sutton County Public Library  306 E Mulberry St, Sonora, TX 76950",https://townhallproject.com
Will HurdÊ,Republican,Texas,TX-23,Office Hours,"Fri, Apr 7, 2017Ê","3:30 PM, CSTÊ",Mobile office hours,"Upton County Library  212 W 7th St, McCamey, TX 79752",https://townhallproject.com
Will HurdÊ,Republican,Texas,23,Office Hours,"Sat, Apr 8, 2017Ê","10:00:00 AM, CDTÊ",Mobile office hours,"Reeves County Library  505 S Park St, Pecos, TX 79772",https://townhallproject.com
Will HurdÊ,Republican,Texas,23,Office Hours,"Sat, Apr 8, 2017Ê","10:00:00 AM, CDTÊ",Mobile office hours,"Del Rio District Office  1104 W 10th St, Del Rio, TX 78840",https://townhallproject.com
Will HurdÊ,Republican,Texas,23,Office Hours,"Sat, Apr 8, 2017Ê","2:00:00 PM, CDTÊ",Mobile office hours,"Grace Grebing Public Library  110 N Main St, Houston, TX 77002",https://townhallproject.com
Ted CruzÊ,Republican,Texas,Senate,Coffee,Every TuesdayÊ,9:30 AM,TBD,Texas,https://townhallproject.com
Chris StewartÊ,Republican,Utah,UT-02,Town Hall,"Wed, May 17, 2017Ê","7:00 PM, MDTÊ",Town Hall,"Richfield High School  495 W Center St, Richfield, UT 84701",https://townhallproject.com
Chris StewartÊ,Republican,Utah,UT-02,Town Hall,"Fri, May 12, 2017Ê","7:00 PM, MDTÊ",Town Hall,"Richfield High School  495 W Center St, Richfield, UT 84701",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Tue, Apr 4, 2017Ê","11:30 AM, EDTÊ",,"Municipal Building 201 Green St, Bridgewater, VA 22812 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Tue, Apr 4, 2017Ê","9:00 AM, EDTÊ",,"Amherst Co. Administration Building, Board of Supervisor's Room 153 Washington St, Amherst, VA 24521 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Mon, Apr 3, 2017Ê","9:00 AM, EDTÊ",Luray Town Hall,"45 E Main St, Luray, VA 22835  ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Wed, Apr 5, 2017Ê","10:00 AM, EDTÊ",,"Samuels Public Library 330 E Criser Rd, Front Royal, VA 22630 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Thu, Apr 6, 2017Ê","11:30 AM, EDTÊ",,"Elkton Area Community Center 20593 Blue and Gold Dr, Elkton, VA 22827 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Tue, Apr 11, 2017Ê","9:00 AM, EDTÊ",,"Botetourt Co. Courthouse, Second Floor Conference Room 1 E Main St, Fincastle, VA 24090 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Tue, Apr 4, 2017Ê","11:00 AM, EDTÊ",,"Goodwill River James Shopping Center, 174 River James Dr, Madison Heights, VA 24572 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Tue, Apr 11, 2017Ê","10:30 AM, EDTÊ",Town Hall,"19753 Main St, Buchanan, VA 24066  ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Wed, Apr 12, 2017Ê","10:00 AM, EDTÊ",,"Samuels Public Library 330 E Criser Rd, Front Royal, VA 22630 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Thu, Apr 13, 2017Ê","9:00 AM, EDTÊ",,"Town Hall, Council Chambers 116 Broadway Ave, Broadway, VA 22815 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Thu, Apr 13, 2017Ê","2:30 PM, EDTÊ",Highland County Library,"Water St, Monterey, VA 24465  ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Thu, Apr 13, 2017Ê","11:30 AM, EDTÊ",,"Town Council Chambers 5901 Main St, Mt Jackson, VA 22842 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Thu, Apr 13, 2017Ê","11:30 AM, EDTÊ",,"Bath Co. Courthouse, Second Floor 65 Courthouse Hill Rd, Warm Springs, VA 24484 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Tue, Apr 18, 2017Ê","9:30 AM, EDTÊ",Town Hall,"601 Dogwood Ave, Grottoes, VA 24441  ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Mon, Apr 17, 2017Ê","9:00 AM, EDTÊ",Luray Town Hall,"45 E Main St, Luray, VA 22835  ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Tue, Apr 18, 2017Ê","10:00 AM, EDTÊ",,"Forest Public Library 15583 Forest Rd, Forest, VA 24551 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Tue, Apr 18, 2017Ê","11:30 AM, EDTÊ",,"Public Library, First Floor Conference Room 600 S Wayne Ave, Waynesboro, VA 22980 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Wed, Apr 19, 2017Ê","10:00 AM, EDTÊ",,"Samuels Public Library 330 E Criser Rd, Front Royal, VA 22630 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Thu, Apr 20, 2017Ê","11:00 AM, EDTÊ",,"City Hall, Circuit Courtroom 2039 Sycamore Ave, Buena Vista, VA 24416 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Thu, Apr 20, 2017Ê","9:00 AM, EDTÊ",,"Rockbridge Co. Administration Building, Second Floor 150 S Main St, Lexington, VA 24450 ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Thu, Apr 20, 2017Ê","9:30 AM, EDTÊ","Town Hall, Town Council Chambers","135 N Main St, Woodstock, VA 22664  ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Tue, Apr 25, 2017Ê","8:30 AM, EDTÊ","Town Hall, Town Conference Room","311 S Pollard St, Vinton, VA 24179  ",https://townhallproject.com
Bob GoodlatteÊ,Republican,Virginia,VA-06,Office Hours,"Tue, May 2, 2017Ê","11:30 AM, EDTÊ",,"Municipal Building 201 Green St, Bridgewater, VA 22812 ",https://townhallproject.com
Dave BratÊ,Republican,Virginia,VA-07,Ticketed Event,"Wed, Apr 5, 2017Ê","7:30 AM, EDTÊ",3rd Annual Breakfast with Brat and Special Guest Trey Gowdy,"Richmond Mariott 500 E Broad St, Richmond, VA 23219 ",https://townhallproject.com
Rob WittmanÊ,Republican,Virginia,VA-01,Town Hall,"Tue, Apr 18, 2017Ê","7:00 PM, EDTÊ",1st District Town Hall Meeting,"Patriot High School (enter through door #28)  10504 Kettle Run Rd, Nokesville, VA 20181",https://townhallproject.com
David BratÊ,Republican,Virginia,VA-7,Ticketed Event,Wed Apr 05 2017Ê,"07:30 AM, EDTÊ",Breakfast with Brat,"Richmond Marriott  500 E Broad St, Richmond, VA 23219",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Tue Apr 04 2017Ê,"10:00 AM, EDTÊ",American Legion Building,"226 N Central Ave, Tazewell, VA 24651  ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Tue Apr 04 2017Ê,"12:00 PM, EDTÊ",,"Town of Grundy Offices 1185 Plaza Drive, Grundy, VA 24614 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Tue Apr 04 2017Ê,"2:00 PM, EDTÊ",,"Town of Dublin Offices 101 Dublin Park Rd, Dublin, VA 24084 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Wed Apr 05 2017Ê,"10:00 AM, EDTÊ",,"Town Council Chambers 138 W Main St, Marion, VA 24354 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Wed Apr 05 2017Ê,"10:00 AM, EDTÊ",,"City of Covington Conference Room 333 W Locust St, Covington, VA 24426 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Wed Apr 05 2017Ê,"2:00 PM, EDTÊ",,"Craig County Administration Building Court St, New Castle, VA 24127 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Wed Apr 05 2017Ê,"2:00 PM, EDTÊ",,"Bristol VA Public Library Upstairs Conference Room 701 Goode St, Bristol, VA 24201 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Tue Apr 11 2017Ê,"10:00 AM, EDTÊ",,"Town of Pearisburg Offices 112 Tazewell St, Pearisburg, VA 24134 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Tue Apr 11 2017Ê,"10:00 AM, EDTÊ",,"Dickenson Center for Education and Research 818 Happy Valley Dr, Clintwood, VA 24228 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Tue Apr 11 2017Ê,"2:00 PM, EDTÊ",,"City of Salem Offices 114 N Broad St, Salem, VA 24153 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Tue Apr 11 2017Ê,"2:00 PM, EDTÊ",,"Big Stone Gap Federal Courthouse 3rd Floor Room 303 322 Wood Ave E, Big Stone Gap, VA 24219 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Wed Apr 12 2017Ê,"10:00 AM, EDTÊ",,"Radford Public Library Meeting Room 30 W Main St, Radford, VA 24141 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Wed Apr 12 2017Ê,"2:00 PM, EDTÊ",,"Roanoke Library Hollins Branch 6624 Peters Creek Rd, Hollins, VA 24019 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Thu Apr 13 2017Ê,"10:00 AM, EDTÊ",,Grayson County Administration Building Board of Supervisors Room Suite 206,https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Thu Apr 13 2017Ê,"10:00 AM, EDTÊ",,"Southwest Virginia Technology Development Center 141 Highland Dr, Lebanon, VA 24266 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Thu Apr 13 2017Ê,"2:00 PM, EDTÊ",,"Town of Bluefield Council Chambers 112 Huffard Dr, Bluefield, VA 24605 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Thu Apr 13 2017Ê,"2:00 PM, EDTÊ",,"Galax Municipal Building Conference Room 111 E Grayson St, Galax, VA 24333 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Tue Apr 18 2017Ê,"10:00 AM, EDTÊ",,"Carroll County Administration Building Board of Supervisors Room 605 Pine St, Hillsville, VA 24343 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Tue Apr 18 2017Ê,"2:00 PM, EDTÊ",,"Town of Floyd Offices 134 Wilson St SE, Floyd, VA 24091 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Wed Apr 19 2017Ê,"10:00 AM, EDTÊ",,"Bassett Historical Center 3964 Fairystone Park Hwy, Bassett, VA 24055 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Wed Apr 19 2017Ê,"10:00 AM, EDTÊ",,"Bland County Courthouse Admin. Office Room 200 612 Main St, Bland, VA 24315 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Wed Apr 19 2017Ê,"2:00 PM, EDTÊ",,"Patrick County Administration Building Conference Room 106 Rucker St, Stuart, VA 24171 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Thu Apr 20 2017Ê,"10:00 AM, EDTÊ",,"Clifton Forge Library Conference Room 535 Church St, Clifton Forge, VA 24422 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Thu Apr 20 2017Ê,"10:00 AM, EDTÊ",,"Community Services Building Board of Supervisors Meeting Room 2nd Floor 190 Fleming Rd, Gate City, VA 24251 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Thu Apr 20 2017Ê,"2:00 PM, EDTÊ",,"Big Stone Gap Federal Courthouse 3rd Floor Room 303 322 Wood Ave E, Big Stone Gap, VA 24219 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Thu Apr 20 2017Ê,"2:00 PM, EDTÊ",,"Pulaski County Library 60 3rd St NW, Pulaski, VA 24301 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Thu Apr 27 2017Ê,"10:00 AM, EDTÊ",,"Lee County Sheriff's Office 33640 Main St, Jonesville, VA 24263 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Thu Apr 27 2017Ê,"12:00 PM, EDTÊ",,"NCI Room 106 Classroom Building 30 Franklin St, Martinsville, VA 24112 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virginia,9,Office Hours,Thu Apr 27 2017Ê,"2:00 PM, EDTÊ",,"City Council Chambers 618 Virginia Ave NW, Norton, VA 24273 ",https://townhallproject.com
Morgan GriffithÊ,Republican,Virignia,9,Office Hours,Wed Apr 19 2017Ê,"2:00 PM, EDTÊ",,"Wythe County Sheriff's Office Conference Room 245 S 4th St, Wytheville, VA 24382 ",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Dec 14, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Apr 27, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building  1201 F St NW, Washington, DC 20004",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, May 4, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building  1201 F St NW, Washington, DC 20004",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, May 11, 2017Ê","8:30 AM, ESTÊ",Weekly coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, May 18, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, May 25, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Jun 8, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Jun 15, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Jun 22, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Jun 29, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Jul 13, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Jul 20, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Jul 27, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Sep 7, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Sep 14, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Sep 28, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Oct 5, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Oct 19, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Oct 26, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee with Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
Patty MurrayÊ,Democrat,Washington,Senate,DC Event,"Thu, Nov 2, 2017Ê","8:30 AM, ESTÊ",Weekly Coffee wtih Senator Murray,"Russell Senate Office Building, Room 541  224 First St NE, Washington, DC 20003",https://townhallproject.com
